1435,885.6
1430,885.6
1425,878.4
1420,871.2
1415,885.6
1410,864
1405,885.6
1400,871.2
1395,907.2
1390,907.2
1385,864
1380,878.4
1375,871.2
1370,885.6
1365,878.4
1360,870.012
1355.2,886.14
1350,885.6
1345,878.4
1340,885.6
1335,864
1330,885.6
1325,892.8
1320,914.4
1315,892.8
1310,885.6
1305,892.8
1300,878.4
1295,892.8
1290,892.8
1285,878.4
1280,885.6
1275,885.6
1270,900
1265,892.8
1260,892.8
1255,907.2
1250,914.4
1245,900
1240,900
1235,892.8
1230,885.6
1225,892.8
1220,900
1215,907.2
1210,928.8
1205,914.4
1200,900
1195,892.8
1190,892.8
1185,864
1180,892.8
1175,885.6
1170,892.8
1165,900
1160,885.6
1155,892.8
1150,892.8
1145,907.2
1140,928.8
1135,928.8
1130,928.8
1125,914.4
1120,885.6
1115,892.8
1110,892.8
1105,885.6
1100,907.2
1095,892.8
1090,892.8
1085,907.2
1080,922.5
1075.2,893.088
1070,900
1065,914.4
1060,900
1055,900
1050,892.8
1045,885.6
1040,907.2
1035,892.8
1030,907.2
1025,885.6
1020,878.4
1015,900
1010,878.4
1005,900
1000,900
995,878.4
990,892.8
985,878.4
980,885.6
975,914.4
970,892.8
965,907.2
960,892.8
955,892.8
950,871.2
945,864
940,900
935,892.8
930,900
925,900
920,892.8
915,885.6
910,878.4
905,892.8
900,885.6
895,885.6
890,907.2
885,892.8
880,885.6
875,900
870,892.8
865,892.8
860,885.6
855,900
850,892.8
845,878.4
840,900
835,864
830,885.6
825,907.2
820,878.4
815,900
810,871.2
805,878.4
800,878.4
795,892.8
790,878.4
785,885.6
780,885.6
775,885.6
770,878.4
765,871.2
760,871.2
755,871.2
750,900
745,885.6
740,892.8
735,878.4
730,864
725,892.8
720,885.6
715,885.6
710,885.6
705,878.4
700,878.4
695,878.4
690,856.8
685,856.8
680,849.6
675,862.488
670.2,865.368
665,828
660,777.6
655,763.2
650,792
645,770.4
640,770.4
635,777.6
630,756
625,756
620,770.4
615,763.2
610,792
605,777.6
600,770.4
595,763.2
590,748.8
585,763.2
580,770.4
575,763.2
570,784.8
565,756
560,763.2
555,763.2
550,770.4
545,763.2
540,770.4
535,792
530,770.4
525,756
520,763.2
515,777.6
510,784.8
505,777.6
500,784.8
495,777.6
490,756
485,763.2
480,770.4
475,763.2
470,777.6
465,784.8
460,763.2
455,777.6
450,756
445,763.2
440,777.6
435,799.2
430,777.6
425,770.4
420,763.2
415,756
410,777.6
405,792
400,799.2
395,770.4
390,763.2
385,777.6
380,770.4
375,770.4
370,777.6
365,792
360,856.8
355,835.2
350,820.8
345,835.2
340,835.2
335,835.2
330,849.6
325,828
320,820.8
315,828
310,828
305,849.6
300,856.8
295,892.8
290,885.6
285,871.2
280,878.4
275,871.2
270,900
265,885.6
260,885.6
255,878.4
250,878.4
245,871.2
240,878.4
235,921.6
230,907.2
225,900
220,892.8
215,885.6
210,885.6
205,878.4
200,878.4
195,892.512
190.2,893.088
185,885.6
180,907.2
175,892.8
170,892.8
165,885.6
160,885.6
155,907.2
150,907.2
145,892.8
140,878.4
135,885.6
130,907.2
125,900
120,885.6
115,892.8
110,885.6
105,885.6
100,871.2
95,885.6
90,900
85,878.4
80,892.8
75,878.4
70,885.6
65,864
60,871.2
55,885.6
50,892.8
45,878.4
40,864
35,871.2
30,871.2
25,878.4
20,885.6
15,892.8
10,885.6
4.999999995,885.6
0,885.6